"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30896","verifyDDTestLoginPage","Suite","Mon Sep 01 01:04:50 BDT 2025","passed","Mon Sep 01 01:05:21 BDT 2025","testCases.DDTestAccountLoginPage_TC006","Test","testCases.DDTestAccountLoginPage_TC006","verifyDDTestLoginPage"
"","1831","verifyDDTestLoginPage","Suite","Mon Sep 01 01:04:48 BDT 2025","passed","Mon Sep 01 01:04:50 BDT 2025","testCases.DDTestAccountLoginPage_TC006","Test","testCases.DDTestAccountLoginPage_TC006","verifyDDTestLoginPage"
"","3103","verifyAccountRegistration","Suite","Mon Sep 01 01:03:19 BDT 2025","passed","Mon Sep 01 01:03:23 BDT 2025","testCases.TestAccountRegistrationPage_TC001","Test","testCases.TestAccountRegistrationPage_TC001","verifyAccountRegistration"
"","1616","verifyAddToCart","Suite","Mon Sep 01 01:03:36 BDT 2025","passed","Mon Sep 01 01:03:38 BDT 2025","testCases.TestAddToCartPage_TC005","Test","testCases.TestAddToCartPage_TC005","verifyAddToCart"
"","31560","verifyDDTestLoginPage","Suite","Mon Sep 01 01:03:46 BDT 2025","passed","Mon Sep 01 01:04:17 BDT 2025","testCases.DDTestAccountLoginPage_TC006","Test","testCases.DDTestAccountLoginPage_TC006","verifyDDTestLoginPage"
"","2107","verifyDDTestLoginPage","Suite","Mon Sep 01 01:03:41 BDT 2025","passed","Mon Sep 01 01:03:43 BDT 2025","testCases.DDTestAccountLoginPage_TC006","Test","testCases.DDTestAccountLoginPage_TC006","verifyDDTestLoginPage"
"","31225","verifyDDTestLoginPage","Suite","Mon Sep 01 01:04:17 BDT 2025","passed","Mon Sep 01 01:04:48 BDT 2025","testCases.DDTestAccountLoginPage_TC006","Test","testCases.DDTestAccountLoginPage_TC006","verifyDDTestLoginPage"
"","2941","verifyLogout","Suite","Mon Sep 01 01:03:29 BDT 2025","passed","Mon Sep 01 01:03:32 BDT 2025","testCases.TestAccountLogoutPage_TC003","Test","testCases.TestAccountLogoutPage_TC003","verifyLogout"
"","2189","verifyLogin","Suite","Mon Sep 01 01:03:25 BDT 2025","passed","Mon Sep 01 01:03:27 BDT 2025","testCases.TestAccountLoginPage_TC002","Test","testCases.TestAccountLoginPage_TC002","verifyLogin"
"","612","verifySearch","Suite","Mon Sep 01 01:03:34 BDT 2025","passed","Mon Sep 01 01:03:34 BDT 2025","testCases.TestSearchProduct_TC004","Test","testCases.TestSearchProduct_TC004","verifySearch"
"","2328","verifyDDTestLoginPage","Suite","Mon Sep 01 01:03:43 BDT 2025","passed","Mon Sep 01 01:03:46 BDT 2025","testCases.DDTestAccountLoginPage_TC006","Test","testCases.DDTestAccountLoginPage_TC006","verifyDDTestLoginPage"
